Address,PriceInAscendingOrder,LandArea,FloorArea,PropertyLinks,Timestamp
"['9/6 South Quay Boulevard', ',', 'Port Lincoln, SA 5606']","['$74,000']",['60 m²'],['48 m²'],https://www.realcommercial.com.au/for-sale/property-9-6-south-quay-boulevard-port-lincoln-sa-5606-503815890,2022-01-29 02:09:34.670074
"['2/5 North Quay Boulevard', ',', 'Port Lincoln, SA 5606']","['$79,000']",['45 m²'],['45 m²'],https://www.realcommercial.com.au/for-sale/property-2-5-north-quay-boulevard-port-lincoln-sa-5606-503974734,2022-01-29 02:09:34.670074
"['100 McIntyre Road', ',', 'Millicent, SA 5280']","['$120,000']",['0.7 ha (1.73 acres)'],['120 m²'],https://www.realcommercial.com.au/for-sale/property-100-mcintyre-road-millicent-sa-5280-503186422,2022-01-29 02:09:34.670074
"['Whyalla Industrial Estate, Lot 25, - Bowers Court', ',', 'Whyalla, SA 5600']",['Contact Agent'],['2121 m²'],['2121 m²'],https://www.realcommercial.com.au/for-sale/property-whyalla-industrial-estate-lot-25-bowers-court-whyalla-sa-5600-503547894,2022-01-29 02:09:34.670074
"['Address available on request', ',', 'Whyalla Barson, SA 5601']","['$150,000']",['2.02 ha (4.98 acres)'],['20170 m²'],https://www.realcommercial.com.au/for-sale/property-whyalla-barson-sa-5601-503923598,2022-01-29 02:09:34.670074
"['Whyalla Industrial Estate, Lot 12, - Bowers Court', ',', 'Whyalla, SA 5600']",['Contact Agent'],['2343 m²'],['2343 m²'],https://www.realcommercial.com.au/for-sale/property-whyalla-industrial-estate-lot-12-bowers-court-whyalla-sa-5600-501553059,2022-01-29 02:09:34.670074
"['Whyalla Industrial Estate, Lot 11, - Bowers Court', ',', 'Whyalla, SA 5600']",['Contact Agent'],['2344 m²'],['2344 m²'],https://www.realcommercial.com.au/for-sale/property-whyalla-industrial-estate-lot-11-bowers-court-whyalla-sa-5600-501553055,2022-01-29 02:09:34.670074
"['Whyalla Industrial Estate, Lot 19, - Bowers Court', ',', 'Whyalla, SA 5600']",['Contact Agent'],['2400 m²'],['2400 m²'],https://www.realcommercial.com.au/for-sale/property-whyalla-industrial-estate-lot-19-bowers-court-whyalla-sa-5600-501553103,2022-01-29 02:09:34.670074
"['Whyalla Industrial Estate, Lot 24, - Bowers Court', ',', 'Whyalla, SA 5600']",['Contact Agent'],['2450 m²'],['2450 m²'],https://www.realcommercial.com.au/for-sale/property-whyalla-industrial-estate-lot-24-bowers-court-whyalla-sa-5600-501553107,2022-01-29 02:09:34.670074
"[""Cubí Lonsdale , 105 O'Sullivans Beach Road"", ',', 'Lonsdale, SA 5160']","['Priced from $189,000']",['88 m²'],['Partial'],https://www.realcommercial.com.au/for-sale/property-cub-lonsdale-105-o-sullivans-beach-road-lonsdale-sa-5160-503981286,2022-01-29 02:09:34.670074
"['Whyalla Industrial Estate, Lot 15, - Bowers Court', ',', 'Whyalla, SA 5600']",['Contact Agent'],['2760 m²'],['2760 m²'],https://www.realcommercial.com.au/for-sale/property-whyalla-industrial-estate-lot-15-bowers-court-whyalla-sa-5600-501553079,2022-01-29 02:09:34.670074
"['Whyalla Industrial Estate, Lot 16, - Bowers Court', ',', 'Whyalla, SA 5600']",['Contact Agent'],['2760 m²'],['2760 m²'],https://www.realcommercial.com.au/for-sale/property-whyalla-industrial-estate-lot-16-bowers-court-whyalla-sa-5600-501553087,2022-01-29 02:09:34.670074
"['Whyalla Industrial Estate, Lot 14, - Bowers Court', ',', 'Whyalla, SA 5600']",['Contact Agent'],['2760 m²'],['2760 m²'],https://www.realcommercial.com.au/for-sale/property-whyalla-industrial-estate-lot-14-bowers-court-whyalla-sa-5600-503547902,2022-01-29 02:09:34.670074
"['Whyalla Industrial Estate, Lot 1, - Bowers Court', ',', 'Whyalla, SA 5600']",['Contact Agent'],['3092 m²'],['3092 m²'],https://www.realcommercial.com.au/for-sale/property-whyalla-industrial-estate-lot-1-bowers-court-whyalla-sa-5600-501553031,2022-01-29 02:09:34.670074
"['5 Brougham Place', ',', 'Port Lincoln, SA 5606']","['$235,000']",['1150 m²'],['172 m²'],https://www.realcommercial.com.au/for-sale/property-5-brougham-place-port-lincoln-sa-5606-502823454,2022-01-29 02:09:34.670074
"['Whyalla Industrial Estate, Lot 17, - Bowers Court', ',', 'Whyalla, SA 5600']",['Contact Agent'],['3449 m²'],['3449 m²'],https://www.realcommercial.com.au/for-sale/property-whyalla-industrial-estate-lot-17-bowers-court-whyalla-sa-5600-503547898,2022-01-29 02:09:34.670074
"['51/13 Seaton Avenue', ',', 'Port Lincoln, SA 5606']","['$269,000 + gst']",['1097 m²'],['288 m²'],https://www.realcommercial.com.au/for-sale/property-51-13-seaton-avenue-port-lincoln-sa-5606-503894722,2022-01-29 02:09:34.670074
"['108A Main Road', ',', 'Solomontown, SA 5540']",['Contact Agent'],['986 m²'],['220 m²'],https://www.realcommercial.com.au/for-sale/property-108a-main-road-solomontown-sa-5540-503966050,2022-01-29 02:09:34.670074
"['Flagstaff Park Industrial Precinct, Lot 18, 203 Flagstaff Road', ',', 'White Sands, SA 5253']","['$290,000 excluding GST']",[],[],https://www.realcommercial.com.au/for-sale/property-flagstaff-park-industrial-precinct-lot-18-203-flagstaff-road-white-sands-sa-5253-503981858,2022-01-29 02:09:34.670074
